method,target_label,k,theta,input_idx,input_row_index,input_id,parent_smiles,parent_label,p_before,before_teacher_label,recourse_smiles,fragment_rank,fragment_smiles,candidate_rank,candidate_index,candidate_label,p_after,after_teacher_label,cf_drop,cf_flip,cost,proxy_edit,valid_recourse,covered,coverage_theta,coverage_unconstrained_flip,reason
ours_selected_subgraph,1,10,0.05,0,11,11,O=C(O)Cc1ccc(SSc2ccc(CC(=O)O)cc2)cc1,1,0.6833333333333333,1,CC(=O)O.O=C(O)Cc1ccc(SS)cc1,2,c1ccccc1,,,,0.16666666666666666,0,0.5166666666666667,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,1,16,16,NNP(=S)(NN)c1ccccc1,1,0.0033333333333333335,0,NN[PH](=S)NN,2,c1ccccc1,,,,0.006666666666666667,0,-0.0033333333333333335,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,2,80,80,O=Nc1ccc(O)c(N=O)c1O,1,0.62,1,N=O.N=O.O.O,2,c1ccccc1,,,,0.006666666666666667,0,0.6133333333333333,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,3,203,203,Oc1ccc(Cl)cc1C(c1cc(Cl)ccc1O)C(Cl)(Cl)Cl,1,0.6066666666666667,1,C:C(Cl):C:C:CO.C:C(Cl):C:C:CO.ClC(Cl)Cl,3,CCC,,,,0.0,0,0.6066666666666667,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,4,234,234,NNC(=O)c1ccccc1SSc1ccccc1C(=O)NN,1,0.73,1,NNC(=O)c1ccccc1SS.NNC=O,2,c1ccccc1,,,,0.30333333333333334,0,0.42666666666666664,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,5,235,235,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1SSc1ccccc1C(=O)NN=Cc1ccc(Cl)cc1Cl,1,0.15333333333333332,0,NN=Cc1ccc(Cl)cc1Cl.O.O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1SS,1,Cc1ccccc1,,,,0.07333333333333333,0,0.07999999999999999,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,6,244,244,S=c1[nH][nH]c(=S)s1,1,0.6366666666666667,1,,,,,,,,,,False,,,False,False,False,False,no_selected_fragment_substructure
ours_selected_subgraph,1,10,0.05,7,271,271,Cc1cc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3N)c(C)c2)ccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,1,0.9066666666666666,1,C.Cc1ccccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N.N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,2,c1ccccc1,,,,0.5966666666666667,1,0.30999999999999994,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,8,279,279,Nc1ccc2ccccc2c1N=Nc1ccc(C=Cc2ccc(N=Nc3c(N)ccc4ccccc34)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,1,0.78,1,N=Nc1c(N)ccc2ccccc12.Nc1ccc2ccccc2c1N=Nc1cccc(S(=O)(=O)O)c1.O.O.O,5,C=Cc1ccccc1S,,,,0.19333333333333333,0,0.5866666666666667,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,9,326,326,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,1,0.5933333333333334,1,O.O=CO.O=Cc1c(O)c(O)c(OC2OC(CO)C(O)C(O)C2O)c(O)c1C=O,1,Cc1ccccc1,,,,0.02666666666666667,0,0.5666666666666668,True,,,True,False,False,True,no_theta_feasible_flip
