method,input_idx,parent_smiles,nearest_fullgraph_rank,nearest_fullgraph_smiles,nearest_distance_proxy,fullgraph_cf_flip,mcs_num_atoms,mcs_num_bonds,deleted_motif_smiles,canonical_motif_smiles,motif_atom_count,motif_bond_count,component_count,valid_motif,failure_reason
gt_fullgraph_greedy,0,O=C(O)Cc1ccc(SSc2ccc(CC(=O)O)cc2)cc1,1,Cc1ccc(S(=O)(=O)c2ccc(C)cc2[N+](=O)[O-])cc1,0.627906976744186,True,8,8,O=C(O)Cc1ccc(S)cc1,O=C(O)Cc1ccc(S)cc1,11,11,2,True,ok
gt_fullgraph_greedy,1,NNP(=S)(NN)c1ccccc1,11,O=c1c2ccccc2oc2ccccc12,0.5714285714285714,True,6,6,NNP(=S)NN,NN[PH](=S)NN,6,5,1,True,ok
gt_fullgraph_greedy,2,O=Nc1ccc(O)c(N=O)c1O,1,Cc1ccc(S(=O)(=O)c2ccc(C)cc2[N+](=O)[O-])cc1,0.5076923076923077,True,8,8,N=O,N=O,2,1,3,True,ok
gt_fullgraph_greedy,3,Oc1ccc(Cl)cc1C(c1cc(Cl)ccc1O)C(Cl)(Cl)Cl,16,CCCCCCCCCC=C(c1cc(Br)cc(C(=O)O)c1OC)c1cc(Br)cc(C(=O)O)c1OC.N,0.4608695652173913,True,15,16,ClC(Cl)Cl,ClC(Cl)Cl,4,3,3,True,ok
gt_fullgraph_greedy,4,NNC(=O)c1ccccc1SSc1ccccc1C(=O)NN,15,Cc1ccc2c(c1)-c1[nH]c3ccccc3c1CS2,0.6666666666666666,True,7,7,NNC(=O)c1ccccc1SS,NNC(=O)c1ccccc1SS,12,12,3,True,ok
gt_fullgraph_greedy,5,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1SSc1ccccc1C(=O)NN=Cc1ccc(Cl)cc1Cl,12,Cc1cc(S(=O)(=O)Nc2nc(=N)n(C)[nH]2)c(S)cc1Cl,0.7419354838709677,True,8,8,NNC(=O)c1ccccc1SSc1ccccc1C(=O)NN=Cc1ccc(Cl)cc1Cl,NNC(=O)c1ccccc1SSc1ccccc1C(=O)NN=Cc1ccc(Cl)cc1Cl,31,33,2,True,ok
gt_fullgraph_greedy,6,S=c1[nH][nH]c(=S)s1,14,Cn1cnnc1SC(F)(F)c1nc2ccccc2o1,0.7407407407407407,True,4,3,S,S,1,0,3,False,motif_too_small
gt_fullgraph_greedy,7,Cc1cc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3N)c(C)c2)ccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,18,COC1(c2ccccc2)OC(=O)c2ccccc21,0.6546762589928058,True,12,12,N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,17,18,4,True,ok
gt_fullgraph_greedy,8,Nc1ccc2ccccc2c1N=Nc1ccc(C=Cc2ccc(N=Nc3c(N)ccc4ccccc34)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,11,O=c1c2ccccc2oc2ccccc12,0.6992481203007519,True,10,10,N=Nc1ccc(C=Cc2ccc(N=Nc3c(N)ccc4ccccc34)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,N=Nc1ccc(C=Cc2ccc(N=Nc3c(N)ccc4ccccc34)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,37,40,2,True,ok
gt_fullgraph_greedy,9,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,11,O=c1c2ccccc2oc2ccccc12,0.45794392523364486,True,14,15,OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,12,12,8,True,ok
gt_fullgraph_greedy,10,O=S(=O)(O)c1cc2ccc1C=Cc1ccc(cc1S(=O)(=O)O)N=Nc1ccc(c(S(=O)(=O)O)c1)C=Cc1ccc(cc1S(=O)(=O)O)N=N2,1,Cc1ccc(S(=O)(=O)c2ccc(C)cc2[N+](=O)[O-])cc1,0.7446808510638298,True,9,9,C=Cc1ccc(cc1S(=O)(=O)O)N=Nc1ccc(c(S(=O)(=O)O)c1)C=Cc1ccc(cc1S(=O)(=O)O)N=N,C=Cc1ccc(N=Nc2ccc(C=Cc3ccc(N=N)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,38,40,2,True,ok
