method,target_label,k,theta,input_idx,input_row_index,input_id,parent_smiles,parent_label,p_before,before_teacher_label,recourse_smiles,fragment_rank,fragment_smiles,candidate_rank,candidate_index,candidate_label,p_after,after_teacher_label,cf_drop,cf_flip,cost,proxy_edit,valid_recourse,covered,coverage_theta,coverage_unconstrained_flip,reason
gt_fullgraph_greedy,1,10,0.05,0,11,11,O=C(O)Cc1ccc(SSc2ccc(CC(=O)O)cc2)cc1,1,0.6833333333333333,1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,,,4,24,0,0.01,0,0.6733333333333333,True,,,True,False,False,True,no_theta_feasible_fullgraph
gt_fullgraph_greedy,1,10,0.05,1,16,16,NNP(=S)(NN)c1ccccc1,1,0.0033333333333333335,0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,,,4,24,0,0.01,0,-0.006666666666666666,True,,,True,False,False,True,no_theta_feasible_fullgraph
gt_fullgraph_greedy,1,10,0.05,2,80,80,O=Nc1ccc(O)c(N=O)c1O,1,0.62,1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,,,4,24,0,0.01,0,0.61,True,,,True,False,False,True,no_theta_feasible_fullgraph
gt_fullgraph_greedy,1,10,0.05,3,203,203,Oc1ccc(Cl)cc1C(c1cc(Cl)ccc1O)C(Cl)(Cl)Cl,1,0.6066666666666667,1,CCCCCC=C(c1cc(C)c(OC)c(C(=O)OC)c1)c1cc(C)c(OC)c(C(=O)OC)c1,,,2,1995,0,0.18,0,0.4266666666666667,True,,,True,False,False,True,no_theta_feasible_fullgraph
gt_fullgraph_greedy,1,10,0.05,4,234,234,NNC(=O)c1ccccc1SSc1ccccc1C(=O)NN,1,0.73,1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,,,4,24,0,0.01,0,0.72,True,,,True,False,False,True,no_theta_feasible_fullgraph
gt_fullgraph_greedy,1,10,0.05,5,235,235,O=C(NN=Cc1ccc(Cl)cc1Cl)c1ccccc1SSc1ccccc1C(=O)NN=Cc1ccc(Cl)cc1Cl,1,0.15333333333333332,0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,,,4,24,0,0.01,0,0.1433333333333333,True,,,True,False,False,True,no_theta_feasible_fullgraph
gt_fullgraph_greedy,1,10,0.05,6,244,244,S=c1[nH][nH]c(=S)s1,1,0.6366666666666667,1,Nc1ccc2c(c1)nc1n2C(c2c(F)cccc2F)SC1,,,3,1658,0,0.05333333333333334,0,0.5833333333333334,True,,,True,False,False,True,no_theta_feasible_fullgraph
gt_fullgraph_greedy,1,10,0.05,7,271,271,Cc1cc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3N)c(C)c2)ccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N,1,0.9066666666666666,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,,,1,61,0,0.38,0,0.5266666666666666,True,,,True,False,False,True,no_theta_feasible_fullgraph
gt_fullgraph_greedy,1,10,0.05,8,279,279,Nc1ccc2ccccc2c1N=Nc1ccc(C=Cc2ccc(N=Nc3c(N)ccc4ccccc34)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,1,0.78,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,,,1,61,0,0.38,0,0.4,True,0.039603960396039604,8.0,True,True,True,True,ok
gt_fullgraph_greedy,1,10,0.05,9,326,326,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,1,0.5933333333333334,1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C(O)C4=O)OC(C)C(C)C3O,,,7,1684,0,0.16333333333333333,0,0.43000000000000005,True,,,True,False,False,True,no_theta_feasible_fullgraph
